master_id,scheme_name,primary_sector,secondary_sectors,confidence,method,review_required,evidence,scores,fetched_urls,fetch_notes
b1_943badd8cef6657d1888,Guidlines.07.8.19.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""http://www.dcmsme.gov.in/schemes/Guidlines.07.8.19.pdf""]","[""http://www.dcmsme.gov.in/schemes/Guidlines.07.8.19.pdf::FETCH_ERROR:ConnectTimeout""]"
b1_69232c208f5bb32c3488,Lean Operational Guidlelines.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""http://www.dcmsme.gov.in/schemes/clcs-tus/LEAN-Operational-Guidlelines.pdf""]","[""http://www.dcmsme.gov.in/schemes/clcs-tus/LEAN-Operational-Guidlelines.pdf::FETCH_ERROR:ConnectTimeout""]"
b1_fe9f861d90c8511c141b,Certificate In Lieu Para 26(6) Of The Epf Scheme.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/pdfs/EPF/Certificate_in_lieu_Para_26(6)_of_the_EPF_Scheme.pdf""]","[""https://www.nsic.co.in/documents/pdfs/EPF/Certificate_in_lieu_Para_26(6)_of_the_EPF_Scheme.pdf::PDF_SKIPPED""]"
b1_d4428310bd2fdaa69c90,Taiwan Startup Supporting Programs 14022024.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://nsic.co.in/documents/pdfs/IC/Taiwan_Startup_supporting_programs_14022024.pdf""]","[""https://nsic.co.in/documents/pdfs/IC/Taiwan_Startup_supporting_programs_14022024.pdf::PDF_SKIPPED""]"
b1_db59689b15ec4ceaf2fd,Moratorium Scheme With Annexurea.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://nsic.co.in/documents/pdfs/Moratorium_Scheme_with_AnnexureA.pdf""]","[""https://nsic.co.in/documents/pdfs/Moratorium_Scheme_with_AnnexureA.pdf::PDF_SKIPPED""]"
b1_7350dc02e1d8de3ac249,Nsic Letter Related To Sri Fund 24.09.2020.Pdf,Cross-sector MSME & Startup Finance,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector MSME & Startup Finance"": 6.0}","[""https://nsic.co.in/documents/pdfs/NSIC_letter_related_to_SRI_Fund_24.09.2020.pdf""]","[""https://nsic.co.in/documents/pdfs/NSIC_letter_related_to_SRI_Fund_24.09.2020.pdf::PDF_SKIPPED""]"
b1_fe2dcb64a23e9d30aabf,Scheme Nsic Tic Under Ppp Mode 2023 06032023.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/pdfs/TICS-PPP/Scheme_NSIC_TIC_under_PPP_mode_2023_06032023.pdf""]","[""https://www.nsic.co.in/documents/pdfs/TICS-PPP/Scheme_NSIC_TIC_under_PPP_mode_2023_06032023.pdf::PDF_SKIPPED""]"
b1_71614b34c85c7cb9f1e3,Ic Scheme Of Ministry Of Msme 19Aug2021.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/pdfs/IC/IC_Scheme_of_Ministry_of_MSME_19Aug2021.pdf""]","[""https://www.nsic.co.in/documents/pdfs/IC/IC_Scheme_of_Ministry_of_MSME_19Aug2021.pdf::PDF_SKIPPED""]"
b1_3cb218ef1213aff8cf95,Machineequipmentscheme Latest.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/pdfs/MachineEquipmentScheme_Latest.pdf""]","[""https://www.nsic.co.in/documents/pdfs/MachineEquipmentScheme_Latest.pdf::PDF_SKIPPED""]"
b1_038ea6d0def3b2532f6c,Annexure1.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/Schemes/Annexure1.pdf""]","[""https://www.nsic.co.in/documents/Schemes/Annexure1.pdf::PDF_SKIPPED""]"
b1_ad10f80ff8c36d80f976,Annexure2.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/Schemes/Annexure2.pdf""]","[""https://www.nsic.co.in/documents/Schemes/Annexure2.pdf::PDF_SKIPPED""]"
b1_57ef46c0e0c6216d785e,Msmesaarthidetails.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/Schemes/MSMESAARTHIDetails.pdf""]","[""https://www.nsic.co.in/documents/Schemes/MSMESAARTHIDetails.pdf::PDF_SKIPPED""]"
b1_5f85b57acecaa8c16534,Mfs Scheme 08012025.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.nsic.co.in/documents/pdfs/mfs/MFS-SCHEME-08012025.pdf""]","[""https://www.nsic.co.in/documents/pdfs/mfs/MFS-SCHEME-08012025.pdf::PDF_SKIPPED""]"
b1_6d500af766c0d054d578,2018 Nasscom Startup%20Ecosystem Indian%20Start%20Up%20Ecosystem%202018%20Report.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Indian%20Start%20Up%20Ecosystem%202018%20Report.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Indian%20Start%20Up%20Ecosystem%202018%20Report.pdf::FETCH_ERROR:HTTPError""]"
b1_07a0e56d5f439745381b,2018 Nasscom Startup%20Ecosystem Product%20Opportunities%20Driving%20Usd%2010%20Trillion%20Economy.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Product%20Opportunities%20Driving%20USD%2010%20Trillion%20Economy.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Product%20Opportunities%20Driving%20USD%2010%20Trillion%20Economy.pdf::FETCH_ERROR:HTTPError""]"
b1_98ad2d84b2c9de2ba458,2018 Pwc Ai Advance%20Artificial%20Intelligence%20For%20Growth.Pdf,Artificial Intelligence & Data,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Artificial Intelligence & Data"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Advance%20Artificial%20Intelligence%20for%20Growth.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Advance%20Artificial%20Intelligence%20for%20Growth.pdf::FETCH_ERROR:HTTPError""]"
b1_df7160df7daf98c14ac4,2018 Pwc Ai Artificial%20Intelligence%20In%20India%20Hype%20Or%20Reality.Pdf,Artificial Intelligence & Data,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Artificial Intelligence & Data"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Artificial%20Intelligence%20In%20India%20Hype%20Or%20Reality.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Artificial%20Intelligence%20In%20India%20Hype%20Or%20Reality.pdf::FETCH_ERROR:HTTPError""]"
b1_6e0475f95ce1b758730c,2018 Pwc Ai Autonomous%20Intelligence%20In%20Customer%20Experience.Pdf,Artificial Intelligence & Data,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Artificial Intelligence & Data"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Autonomous%20Intelligence%20In%20Customer%20Experience.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Autonomous%20Intelligence%20In%20Customer%20Experience.pdf::FETCH_ERROR:HTTPError""]"
b1_9f34483f5b2f6ad2ce04,2018 Pwc Blockchain Automating%20Trust%20In%20Citizen%20Services.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-Automating%20Trust%20In%20Citizen%20Services.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-Automating%20Trust%20In%20Citizen%20Services.pdf::FETCH_ERROR:HTTPError""]"
b1_239162d88eb3d7ec27d1,2018 Pwc Blockchain The%20Next%20Innovation%20To%20Make%20Our%20Cities%20Smarter.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-The%20Next%20Innovation%20To%20Make%20Our%20Cities%20Smarter.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-The%20Next%20Innovation%20To%20Make%20Our%20Cities%20Smarter.pdf::FETCH_ERROR:HTTPError""]"
b1_056f9fed96d483aa66ab,2018 Pwc Data %20At%20A%20Privacy%20Crossroads.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-%20At%20A%20Privacy%20Crossroads.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-%20At%20A%20Privacy%20Crossroads.pdf::FETCH_ERROR:HTTPError""]"
