sector,record_count,percentage
Cross-sector Innovation & Entrepreneurship,77,56.2
Cross-sector MSME & Startup Finance,35,25.55
Sector Agnostic / Multi-sector,14,10.22
Artificial Intelligence & Data,4,2.92
Healthcare & MedTech,2,1.46
Aerospace & Defence,2,1.46
Digital Technology & Software,1,0.73
Financial Services & FinTech,1,0.73
"Retail, Commerce & Consumer Technology",1,0.73
