review_id,review_type,provisional_entity_id,proposed_name,proposed_entity_type,confidence,review_flags,evidence,source_url,recommended_action,review_status,created_at
dst_entity_quality_review_a544751452269bbab249,PROVISIONAL_ENTITY_QUALITY,dst_provisional_scheme_b193497f2e1ba1cd5f66,Fellowship Opportunities for Researchers,SCHEME,0.7302,POSSIBLE_OPPORTUNITY_INDEX_NOT_STANDALONE_SCHEME,MASTER_EVIDENCE_OBJECTIVE | MASTER_EVIDENCE_ELIGIBILITY | MASTER_EVIDENCE_BENEFIT | MASTER_EVIDENCE_BENEFICIARY | AMBIGUOUS_OPPORTUNITY_INDEX_NAME,https://dst.gov.in/fellowship-opportunities-researchers,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK,,
dst_entity_quality_review_d2a92bb2bcbc9aadd7fc,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_42fc5916ea5eed40e7da,S&T Capacity Building Programmes,PROGRAMME,0.5043,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program,capacity building | QUALITY_SCORE=0.504 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.900 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/human-capacity-building-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK,,
dst_entity_quality_review_f4eb85f4184eb8818c4d,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_749ad5f399c75fb7561d,Research & Development Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/research-development-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK,,
dst_entity_quality_review_72c37ab8740e817c10ba,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_d42b04096b03a1dc6584,Innovation and Technology Development Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/innovation-and-technology-development-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK,,
dst_entity_quality_review_ddeac668951e98dcb965,PROVISIONAL_ENTITY_QUALITY,dst_provisional_programme_9809fb5b19ade3c50b4b,Science for Society Programmes,PROGRAMME,0.4867,PERMANENT_ENTITY_EVIDENCE_REQUIRES_MANUAL_CONFIRMATION,"CLASSIFIER_PROGRAMME_MASTER_CANDIDATE | PROGRAMME_TERMS:programme,program | QUALITY_SCORE=0.487 | SCHEME_SCORE=0.080 | PROGRAMME_SCORE=0.820 | MASTER_EVIDENCE_CATEGORIES=0",https://dst.gov.in/science-society-programmes,CONFIRM_PERMANENT_ENTITY_OR_DOWNGRADE_BEFORE_IDENTITY_LOCK,,
dst_calibration_review_fb3528676ee9148e9e4a,CALIBRATED_MANUAL_ENTITY_REVIEW,,https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-...,,0.5500,CALIBRATED_ENTITY_POSSIBILITY_REQUIRES_CURATION,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,https://dst.gov.in/foldscope-microscopy-empowering-farmers-chhattisgarh-detect-plant-diseases-take-st-aided-1,,PENDING,2026-07-10T11:48:28+00:00
dst_calibration_review_3786d113b796fd07db37,CALIBRATED_MANUAL_ENTITY_REVIEW,,https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people,,0.5500,CALIBRATED_ENTITY_POSSIBILITY_REQUIRES_CURATION,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,https://dst.gov.in/herbal-remedy-gout-can-improve-lifestyle-elderly-people,,PENDING,2026-07-10T11:48:28+00:00
dst_calibration_review_f33e4fa07003daa6bc24,CALIBRATED_MANUAL_ENTITY_REVIEW,,https://dst.gov.in/success-stories-dst,,0.5500,CALIBRATED_ENTITY_POSSIBILITY_REQUIRES_CURATION,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_20:+8,https://dst.gov.in/success-stories-dst,,PENDING,2026-07-10T11:48:28+00:00
dst_calibration_review_22635a45ad926d99bc5f,CALIBRATED_MANUAL_ENTITY_REVIEW,,Science Wings Abroad,,0.5800,FETCHED_ENTITY_EVIDENCE_REQUIRES_CURATION,AMBIGUOUS_ENTITY_EVIDENCE,https://dst.gov.in/science-wings-abroad-0,,PENDING,2026-07-10T11:48:28+00:00
