audit_id,audit_type,record_url,record_name,decision,classification,score,reasons,created_at
dst_calibration_audit_04099f496c118c634c6d,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/importantlinks/e-journal-resources,E-Journal Resources,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,PORTAL_OR_RESOURCE_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_a81970bf5ce0a54ae46f,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,Electronic Project Management System (e-PMS),OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,PORTAL_OR_RESOURCE_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_5923d0f2f780abe4e37d,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,Achievements of Ministry of Science & Technology And Earth Science...,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,50,PORTAL_OR_RESOURCE_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_c6b3d40bc498ed2d1b45,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/importantlinks/rd-statistics-glance,R&D Statistics at a Glance,OFFLINE_CLOSE,POLICY_REPORT_OR_DOCUMENT,20,POLICY_REPORT_DOCUMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_293bbb3f79cf08c7730d,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/importantlinks/indian-science-congress,Indian Science Congress,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,35,PORTAL_OR_RESOURCE_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_3fe7d693a5ad6d0f9bd3,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/important_link,Read More,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,PORTAL_OR_RESOURCE_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_0a090818131aa0fb7029,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/india-maps-21st-century,India Maps the 21st Century,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_e5e71a99741a4f0d2cb5,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,TDB invites technology proposals for fighting COVID 19,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,50,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_848e964420d5a2cb22e4,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,NSM: a transformative approach in supercomputing,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_837fe6b1e8bb31b5c161,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,ARCI develops technology to improve fuel efficiency of internal...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,50,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
