scheme,url,role,authority,status_code,content_type,extraction_method,text_length,content_sha256,fetched_at,fetch_error
SASACT,https://msh.meity.gov.in/schemes/sasact,SCHEME_MASTER_PAGE,MeitY Startup Hub,200,text/html,PLAYWRIGHT_RENDERED_HTML,1996,f8ca3a1936f9c84cba6464a66e8706d6b3226ddc6de03293ead812321465750a,2026-07-13T08:23:53+00:00,
SASACT,https://www.meity.gov.in/static/uploads/2024/02/32-1.pdf,OFFICIAL_ANNUAL_REPORT,Ministry of Electronics and Information Technology,200,application/pdf,PYPDF,1067538,0ae7e811e7715315af719a3655a508e8e1d34fc674d53c65c8b4193e7a74f3b1,2026-07-13T08:24:02+00:00,
SASACT,https://www.meity.gov.in/static/uploads/2024/02/35ab.pdf,OFFICIAL_GRANT_RELEASE_LEDGER,Ministry of Electronics and Information Technology,200,application/pdf,PYPDF,95386,1a770b34ac17434558982487966b05b0ceb082f6fa29cb631bbdd1174b860755,2026-07-13T08:24:14+00:00,
GENESIS,https://msh.meity.gov.in/schemes/genesis,SCHEME_MASTER_PAGE,MeitY Startup Hub,200,text/html,PLAYWRIGHT_RENDERED_HTML,2560,f8ca3a1936f9c84cba6464a66e8706d6b3226ddc6de03293ead812321465750a,2026-07-13T08:24:15+00:00,
GENESIS,https://www.meity.gov.in/offerings/schemes-and-services/details/gen-next-support-for-innovative-startups-genesis-gN5AjNtQWa,MINISTRY_SCHEME_DETAIL_PAGE,Ministry of Electronics and Information Technology,200,text/html,PLAYWRIGHT_RENDERED_HTML,292,771adc211bd6e9e48c30c9b095f6a71336506d8d6a849b24f6ac6b47bc6fdf0d,2026-07-13T08:24:20+00:00,
GENESIS,https://msh.meity.gov.in/assets/Brochure_GENESIS.pdf,OFFICIAL_SCHEME_BROCHURE,MeitY Startup Hub,200,application/pdf,PYPDF,5488,2566fb0428fe0abc7dc2932a8c5c545977a9d68fb6c0b5bffdffba3dc48363f3,2026-07-13T08:24:22+00:00,
GENESIS,https://msh.meity.gov.in/assets/GENESIS_Admin%20Approval.pdf,ADMINISTRATIVE_APPROVAL,Ministry of Electronics and Information Technology,200,application/pdf,PYPDF,0,91acd68c297fb7f3d7ab3be7ea8d42e0141c0e684f68bdcd542901a9df1ef411,2026-07-13T08:24:22+00:00,
GENESIS,https://www.meity.gov.in/static/uploads/2024/02/About-GENESIS_Scheme.pdf,OFFICIAL_SCHEME_BRIEF,Ministry of Electronics and Information Technology,200,application/pdf,PYPDF,1281,b91cffd735519e6126748cb667dcca33acfbe86fd94aa960389a117c26b51424,2026-07-13T08:24:23+00:00,
GENESIS,https://www.meity.gov.in/static/uploads/2024/02/Application-Form_GENESIS.pdf,REFERENCE_APPLICATION_FORM,Ministry of Electronics and Information Technology,200,application/pdf,PYPDF,4435,89f49c4941d4477cd7c6099f64e92a25868765176006284eee964f6aa455909d,2026-07-13T08:24:23+00:00,
