bundle_id,lane,priority,risk_score,bundle_title,recommended_action,rationale,child_record_count,source_evidence_weight,families,entity_types,allow_batch_all,reversible,requires_individual_child_selection,publication_eligible,apply_action_allowed,database_action,publication_action
meitybundle_7343829ad4f458172a33,DEEP_REVIEW,LOW,0,Programme family — SAMRIDH,REVIEW_NEW_PROGRAMME_FAMILY,Review a possible new permanent MeitY programme family. Approval remains separate from publication.,1,2,SAMRIDH,ACCELERATOR_PROGRAMME,False,True,True,False,False,NONE,NONE
meitybundle_34bb1d1257613c635ece,DEEP_REVIEW,LOW,0,Programme family — TIDE 2.0,REVIEW_NEW_PROGRAMME_FAMILY,Review a possible new permanent MeitY programme family. Approval remains separate from publication.,1,2,TIDE 2.0,INCUBATION_PROGRAMME,False,True,True,False,False,NONE,NONE
meitybundle_cd218483a181529020f2,DEEP_REVIEW,HIGH,39,Potential current call — Google Appscale Academy 2023,REVIEW_CURRENT_CALL,"Potential current or upcoming opportunity requires individual deadline, applicant-layer and Apply-route review.",1,4,GENESIS,ACCELERATOR_COHORT,False,True,True,False,False,NONE,NONE
