record_id,canonical_name,record_type,parent_record_id,application_status,opening_date,closing_date,application_url,official_url,direct_applicant_layer,startup_relevance,sector,status_basis,last_verified_date,publication_status,review_required
dpiit_call_7d5cea5e1b0af96bf961,National Startup Awards 5.0,HISTORICAL_CALL,dpiit_master_fddaf83d1941468aa810,CLOSED,,,,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,startup;incubator/accelerator;mentor,STARTUP_RELEVANT,Not verified,Official edition page says Closed now,2026-07-21,PREVIEW_NOT_PUBLISHED,0
dpiit_call_be7d531209cdc2838400,Final Notice: last date for startups to apply under SISFS – 31 May 2026,HISTORICAL_CALL,dpiit_master_8f5e33c59d19edc0e12e,CLOSED,,2026-05-31,,https://seedfund.startupindia.gov.in/final-notice-2026,startup;incubator/accelerator,STARTUP_RELEVANT,Not verified,Official final notice deadline passed,2026-07-21,PREVIEW_NOT_PUBLISHED,0
dpiit_call_d101c6f3f93c937dd896,Gaming for Good – Bharat Startup Grand Challenge,HISTORICAL_CALL,dpiit_master_8314bd560187bd1f0e75,CLOSED,,,,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge/gaming-for-good.html,startup,STARTUP_RELEVANT,Not verified,Official umbrella classifies the challenge as concluded,2026-07-21,PREVIEW_NOT_PUBLISHED,0
