document_id,title,document_type,parent_record_id,official_url,evidence_status,last_verified_date,publication_status
dpiit_doc_0dbfcf19851723fe49d8,SISFS Frequently Asked Questions,FAQ,dpiit_master_8f5e33c59d19edc0e12e,https://seedfund.startupindia.gov.in/faq,OFFICIAL_PRIMARY,2026-07-21,PREVIEW_NOT_PUBLISHED
dpiit_doc_1df07e17b40af99976b2,National Startup Awards 2023 Guidelines,GUIDELINE,dpiit_master_fddaf83d1941468aa810,https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/National%20Startup%20Awards%202023_Guidelines.pdf,OFFICIAL_PRIMARY,2026-07-21,PREVIEW_NOT_PUBLISHED
dpiit_doc_89f9b85a774291c41f8b,SISFS Startup Application Login,APPLICATION_PORTAL,dpiit_master_8f5e33c59d19edc0e12e,https://seedfund.startupindia.gov.in/startup/login,OFFICIAL_PRIMARY,2026-07-21,PREVIEW_NOT_PUBLISHED
dpiit_doc_da07f008cf31082f8a6f,Frequently Asked Questions – Credit Guarantee Scheme for Startups,GUIDELINE,dpiit_master_d340c6e45c28c4fbba91,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,OFFICIAL_PRIMARY,2026-07-21,PREVIEW_NOT_PUBLISHED
