sector,record_count,percentage
Cross-sector Innovation & Entrepreneurship,74,62.18
Cross-sector MSME & Startup Finance,26,21.85
Artificial Intelligence & Data,4,3.36
Biotechnology & Life Sciences,3,2.52
Aerospace & Defence,2,1.68
Agriculture & AgriTech,2,1.68
Digital Technology & Software,2,1.68
Healthcare & MedTech,2,1.68
Environment & Circular Economy,1,0.84
Financial Services & FinTech,1,0.84
"Retail, Commerce & Consumer Technology",1,0.84
Robotics & Automation,1,0.84
