master_id,canonical_name,official_abbreviation,entity_type,owning_ministry,owning_department,implementing_agency,official_master_url,source_candidate_id,identity_status,identity_confidence,identity_evidence,identity_rule_version,last_verified_date,publication_status
dpiit_master_8314bd560187bd1f0e75,Bharat Startup Grand Challenge,BSGC,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,dpiit_candidate_4249da56cfe21ea4d7f2,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Permanent challenge programme page; individual challenges remain children.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_fddaf83d1941468aa810,National Startup Awards,NSA,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Invest India,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,dpiit_candidate_d30889c9e8aba3a9d800,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,Permanent awards landing page; numbered editions remain children.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
dpiit_master_81c78bd668846b794a52,Startup India Initiative,Startup India,UMBRELLA_PROGRAMME,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,dpiit_candidate_0c6d98d2a491c112dbbc,LOCKED_VERIFIED_OFFICIAL_IDENTITY,0.98,DPIIT permanent initiative master page.,3.4.1.0.2,2026-07-12,NOT_PUBLISHED
