provenance_id,bundle_id,child_id,canonical_name,entity_type,temporal_validation,source_field,direct_child_link,requested_role,requested_url,final_url,http_status,content_type,page_title,page_role,entity_match_confidence,link_integrity_status,verified_information_link,verified_application_link,withheld_reason,integrity_flags,fetch_method,fetch_error,last_checked_at,source_candidate_id,source_evidence_id
meitylink_e9535c69b38a4de76797,meitybundle_cd218483a181529020f2,meitychild_0f95bbacb6f160303e98,Google Appscale Academy 2023,ACCELERATOR_COHORT,HISTORICAL_BY_TITLE_OR_DEADLINE,application_url,True,APPLICATION_ROUTE,https://msh.meity.gov.in/about/applyforthelogo,https://msh.meity.gov.in/about/applyforthelogo,200,text/html,MeityStartupHub,ABOUT_PAGE,0.0,WITHHELD,False,False,GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,BLOCKED_APPLICATION_PATH;GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,HTTP,,2026-07-15T06:23:02+00:00,meity380_2cd816826189dd59f2ee,meityev_d6d3bc3ccbd8fe774541
meitylink_17a6c61fb45148837991,meitybundle_f96e74002f226b88bfca,meitychild_378d06aa7453e109999b,Advancing India’s Startup Ecosystem: MeitY Startup Hub & Razorpay Partnership,RESULT_ANNOUNCEMENT,CURRENT_STATUS_NOT_PROVEN,application_url,True,APPLICATION_ROUTE,https://msh.meity.gov.in/about/applyforthelogo,https://msh.meity.gov.in/about/applyforthelogo,200,text/html,MeityStartupHub,ABOUT_PAGE,0.0,WITHHELD,False,False,GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,BLOCKED_APPLICATION_PATH;GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,HTTP,,2026-07-15T06:23:02+00:00,meity380_c91d338b4e9ceb62bb73,meityev_fdcbbebf24f2144180f7
meitylink_8c6f0be0fbe0ddd559c8,meitybundle_f96e74002f226b88bfca,meitychild_1e9c1875072fc1cf487b,XR Startup Program,RESULT_ANNOUNCEMENT,CURRENT_STATUS_NOT_PROVEN,application_url,True,APPLICATION_ROUTE,https://msh.meity.gov.in/about/applyforthelogo,https://msh.meity.gov.in/about/applyforthelogo,200,text/html,MeityStartupHub,ABOUT_PAGE,0.0,WITHHELD,False,False,GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,BLOCKED_APPLICATION_PATH;GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,HTTP,,2026-07-15T06:23:02+00:00,meity380_d529daa3546fbbb07c5c,meityev_a1dcfdf652320f999ed5
