review_id,master_id,canonical_name,display_name,source,ministry,department,entity_type,permanent_scheme_or_call,parent_master_id,parent_canonical_name,candidate_change_type,active_record_present,candidate_record_present,official_source_url,canonical_scheme_url,application_url,guidelines_url,page_role,programme_status,application_status,opening_date,deadline,objective_summary,eligibility_summary,benefit_summary,startup_relevance,identity_confidence,evidence_confidence,evidence_completeness,duplicate_check_status,call_identity_check_status,blocking_flags,review_recommendation,admin_decision,admin_reason,admin_name,reviewed_at,evidence_hash,candidate_row_hash
MEITY-194b7ba77d6b53f30b91-e7fa41735689,194b7ba77d6b53f30b91,SASACT,SASACT,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),Ministry of Electronics and Information Technology (MeitY),SCHEME,PERMANENT_SCHEME,,,ADD,false,true,https://msh.meity.gov.in/schemes/sasact,https://msh.meity.gov.in/schemes/sasact,NO_CURRENT_APPLICATION_ROUTE,,,HISTORICAL_SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_ROUTE_CONFIRMED,,,,,Official grant-release evidence records implementation funding for SASACT through STPI.,,,,,PASS,PASS,,APPROVE,,,,,b5be262a2c2917bf1efa2f48f9fa7be228de2c2e1c7808125e1136640eeb76d1,e7fa41735689ee519a2e9e4087f13ed0c6a2dbd8330b90268e9351f5fb67c498
MEITY-94f8ab0a070a6ff15fce-a5e591ff4c69,94f8ab0a070a6ff15fce,GENESIS,GENESIS,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),Ministry of Electronics and Information Technology (MeitY),SCHEME,PERMANENT_SCHEME,,,ADD,false,true,https://msh.meity.gov.in/schemes/genesis,https://msh.meity.gov.in/schemes/genesis,NO_CURRENT_APPLICATION_ROUTE,,,UMBRELLA_SCHEME_INFORMATION_AVAILABLE,APPLICATION_STATUS_REQUIRES_VERIFICATION,,,,DPIIT-registered startup; at least 51% Indian promoter shareholding at application; additional component-specific selection requirements apply.,"Support may include early-stage funding up to INR 10 lakh, pilot/investment support up to INR 50 lakh, and deep-tech support up to INR 1 crore, subject to component rules.",,,,,PASS,PASS,,APPROVE,,,,,cae05b8ed60836fe3813daa36ff7fb3398b79be844aa3c78f97325ca8903240c,a5e591ff4c6961af2aa20a3bb0f9a47b31b18156be5274543e22b4be92469773
