call_id,parent_scheme_code,parent_master_id,call_title,call_type,opening_date,closing_date,application_status,eligible_beneficiary,application_url,guideline_url,source_url,last_verified_at,evidence_excerpt
dstcall_e82aacc3ab1fe9c28038,TDB-CORE-FUNDING,dststartup_c14cf6af6c4512b6ded7,Call For Proposal | Technology Development Board,CALL_FOR_PROPOSALS,23 July 2025,30 September 2025,CLOSED,Companies,,https://tdb.gov.in/sites/default/files/2024-12/funding_guidelines_march_23_revised.pdf,https://tdb.gov.in/call-for-proposal,2026-07-10T13:38:44+00:00,"Details of Call for Proposals Name of the Programme Empowering Indigenous Technologies for Sustainable Semiconductor Supply Chain Launch Date: 23rd July 2025 Last Date: 30th September 2025 Extended Date: 30th October 2025 About Technology Development Board (TDB) TDB provides financial assistance to Indian industrial concerns and other agencies, attempting development and commercial application of indigenous technology, or adapting imported technology to wider domestic applications. TDB’s goal is to make the weak zone of technology development and commercialization strong in selected sector by supporting technology development in the industry with short-, medium- and long-term risk horizon. B"
dstcall_fbfdccaae7543686b2ac,UNRESOLVED_PARENT,,"Call for Proposals on ""Building U.S.-India Partnerships to Drive Innovation in Critical Minerals and Quantum Technology | Department Of Science & Technology",CHALLENGE,,,VERIFICATION_REQUIRED,Entrepreneurs,,,https://dst.gov.in/callforproposals-1,2026-07-10T13:39:04+00:00,"As you are aware, the Indo-U.S. Science and Technology Forum (IUSSTF) was established under an agreement between the Governments of India and the United States in March 2000. IUSSTF is an autonomous bilateral organization jointly funded by both governments to promote science, technology, engineering, and innovation through substantive interaction among government, academia, and industry. The Department of Science & Technology, Government of India, and the U.S. Department of State are the respective nodal departments. Drawing on their complementary strengths, India and the United States are deepening cooperation in critical and emerging technologies to drive innovation, enhance economic compe"
dstcall_121c335bece50a224494,UNRESOLVED_PARENT,,Archive Call for Proposals | Page 2 | Department Of Science & Technology,CALL_FOR_APPLICATIONS,,,VERIFICATION_REQUIRED,Entrepreneurs,https://dst.gov.in/callforproposals/call-applications-under-second-phase-national-geospatial-chair-professor-scheme,https://dst.gov.in/sites/default/files/DST_STI_Policy_Fellowships%202nd%20Advts%202017_0.pdf,https://dst.gov.in/archive-call-for-proposals?page=1,2026-07-10T13:39:20+00:00,Home >> Archive Call for Proposals >> Archive Call for Proposals Title Attachment Start Date End Date 2nd Call for Proposal for DST-STI Policy Fellowship Programme Download (723.82 KB) 03/05/2017 30/05/2017 DST-DAAD Germany Joint Call For Proposal 2017 Download (258.24 KB) 19/04/2017 14/06/2017 Call for applications under the second phase of the National Geospatial Chair Professor scheme Download (260.93 KB) 18/04/2017 16/06/2017 Advertisement for submission of research proposal under Cognitive Science Research Initiative Download (375.39 KB) 12/05/2017 30/06/2017 Invites Science and Technology Project Proposals - Ministry of Mines Download (91.5 KB) 29/06/2017 15/07/2017 Call for proposals 
dstcall_868bbdae4e5524d601d3,UNRESOLVED_PARENT,,Archive Call for Proposals | Page 3 | Department Of Science & Technology,CALL_FOR_PROPOSALS,,,VERIFICATION_REQUIRED,Entrepreneurs,https://dst.gov.in/callforproposals/indo-german-science-technology-centre-igstc-announces-call-grant-applications-indo,https://dst.gov.in/sites/default/files/Brochure_DST%20Capacity%20Building-FINAL_0.pdf,https://dst.gov.in/archive-call-for-proposals?page=2,2026-07-10T13:39:21+00:00,Home >> Archive Call for Proposals >> Archive Call for Proposals Title Attachment Start Date End Date Advertisement for call for proposal for DST-NRDMS Summer/Winter Schools in Geospatial S&T - 2017 - 2019 Download (1.62 MB) 03/11/2017 15/12/2017 Call for proposals in Basic Sciences with Russia (Russian Foundation for Basic Research) Download (94.92 KB) 09/11/2017 28/12/2017 Funding Opportunity Announcement (FOA): Smart Grids Download (275.34 KB) 10/06/2017 31/12/2017 Multi-Institutional Centres on Materials for Energy Conservation and Storage Platform (MECSP) - 2017 Download (105.25 KB) 29/08/2017 31/12/2017 Interdisciplinary Cyber Physical Systems (ICPS) Division Detailed Call For Proposal
dstcall_7b9e978c33e399af6199,NM-ICPS,dststartup_bef300def814e84651cd,Archive Call for Proposals | Page 4 | Department Of Science & Technology,CALL_FOR_PROPOSALS,,,VERIFICATION_REQUIRED,Startups,https://dst.gov.in/callforproposals/invites-rd-project-proposals-spatial-data-infrastructures-sdi-urban-governance,https://dst.gov.in/sites/default/files/callforproposal-03.pdf,https://dst.gov.in/archive-call-for-proposals?page=3,2026-07-10T13:39:22+00:00,Home >> Archive Call for Proposals >> Archive Call for Proposals Title Attachment Start Date End Date Student Startup NIDHI Award-2018 04/01/2018 28/02/2018 Indo-U.S. Fellowship for Women in STEMM 11/01/2018 28/02/2018 Scheme for Young Scientists and Technologists Download (1.76 MB) 06/02/2018 15/03/2018 Invites R&D Project Proposals on Spatial Data Infrastructures (SDI) for Urban Governance Applications Download (10.9 KB) 26/12/2017 31/03/2018 Advertisement for the SwarnaJayanti Fellowships Scheme 2017-18 Download (75.74 KB) 12/02/2018 31/03/2018 India-Israel Industrial R&D and Technological Innovation Fund (I4F) 2018 - 1st Call For Proposal (CFP) 25/01/2018 16/04/2018 Announcement for invi
dstcall_f9213abbb7483614ecb9,UNRESOLVED_PARENT,,Archive Call for Proposals | Page 9 | Department Of Science & Technology,CALL_FOR_PROPOSALS,,,VERIFICATION_REQUIRED,Entrepreneurs,https://dst.gov.in/callforproposals/brics-covid-19-call-application,https://dst.gov.in/sites/default/files/YASH%20Backgrounder.pdf,https://dst.gov.in/archive-call-for-proposals?page=8,2026-07-10T13:39:27+00:00,Home >> Archive Call for Proposals >> Archive Call for Proposals Title Attachment Start Date End Date Call for Proposals under National Health and Risk Communication Programme 'Year of Awareness on Science and Health' (YASH) for COVID19 Download (118.78 KB) 29/04/2020 31/05/2020 Call for proposals: Integrated Technology Interventions for Sustainable Environment Download (353.92 KB) 31/12/2019 30/06/2020 DST- Training Programme on Entrepreneurship: 2020-21: Call for Proposals Download (397.88 KB) 21/05/2020 30/06/2020 India-Australia special call for collaborative research projects on COVID-19 Download (466.91 KB) 05/06/2020 02/07/2020 Revised India-Slovenia Joint S&T Call 2020 Download (621.
