review_id,candidate_id,canonical_url,http_status,error,error_classification,master_identity_impact,recommended_action,publication_status
meity_review_cf5258189ae09295,meity_cf5258189ae09295fda4,https://api.meity.gov.in/whatsnew-docs/50d42de6-d35d-455b-aa4e-f554180f5d17.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_eaf5807199a20d60,meity_eaf5807199a20d6067eb,https://api.meity.gov.in/whatsnew-docs/e9d8ecd5-8384-47d0-b840-3841b4a533e9.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_7d0f24cf2b7b07a4,meity_7d0f24cf2b7b07a4a235,https://api.meity.gov.in/whatsnew-docs/51443b87-508f-42fb-b0b6-b359ed2e48a2.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_cced613b4748fedd,meity_cced613b4748fedd589e,https://api.meity.gov.in/whatsnew-docs/a98f35d7-ecc9-45f2-aec6-1ecf4cf26efb.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_4a14bf135b7ee895,meity_4a14bf135b7ee89503d5,https://api.meity.gov.in/whatsnew-docs/511dfdfd-132a-45a8-a209-afef5e847fe6.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_a2fdc7b4ff4c6247,meity_a2fdc7b4ff4c62471986,https://api.meity.gov.in/whatsnew-docs/abdf7517-b7ba-495e-86c3-10b68b15ef72.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_0d8fd7adfadf2d40,meity_0d8fd7adfadf2d400cc9,https://api.meity.gov.in/whatsnew-docs/777fd952-b6d9-44ce-afe8-c9ad07da77da.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_07892c44d6bcfaa5,meity_07892c44d6bcfaa5f9b3,https://api.meity.gov.in/whatsnew-docs/8d5409f5-d26c-4697-b10e-5f6fb2d583ef.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_c483121e38eff348,meity_c483121e38eff348431d,https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_55b4539bfb242a62,meity_55b4539bfb242a627eed,https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_3f2d38858dd7aacb,meity_3f2d38858dd7aacb259b,https://api.meity.gov.in/whatsnew-docs/1efd4d7b-998c-4393-aa84-7a4bdb8a0ff2.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
meity_review_ac2e918e07b7a814,meity_ac2e918e07b7a81444b0,https://api.meity.gov.in/whatsnew-docs/3765255f-589c-440d-9607-e3f75508cf68.pdf,404,HTTP_404,BROKEN_OR_PLACEHOLDER_EVIDENCE_URL,NONE,RETRY_OR_RECONSTRUCT_EVIDENCE_URL,NOT_PUBLISHED
