master_id,scheme_name,entity_type,record_kind,source,ministry,department,programme_status,application_status,public_status,official_page_url,application_url,guideline_url,objective,eligibility,benefits,funding_summary,application_process,required_documents,contact_information,official_abbreviation,information_completeness,verification_status,last_verified_date,identity_lock_version
dst_programme_1956ba3cf06f4b89512d,Technology Development and Transfer,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/technology-development-and-transfer,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_fb332e7ab29f31178d4f,Science and Heritage Research Initiative (SHRI) Cell,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/science-and-heritage-research-initiative-shri-cell,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_8f106c6fdd32822c9c7e,National Geospatial Programme (erstwhile NRDMS),PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/national-geospatial-programme-erstwhile-nrdms,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_84b6b59a2ba5338c5e92,Promotion of University Research and Scientific Excellence,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,,,,,,,,,,PURSE,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_b2115f0d42d44315493a,Sophisticated Analytical Instrument Facilities,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,,,,,,,,,,SAIF,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_9c8f082864566558e4ff,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,,,,,,,,,,STUTI,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_6108a336121d3ad5c780,Support for Up-gradation Preventive Repair & Maintenance of Equipment,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,,,,,,,,,,SUPREME,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_3d2b842cedbcdf64ff77,Women in Science and Engineering-KIRAN,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/scientific-programmes/wise-kiran,,,,,,,,,,WISE-KIRAN,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_93151f7f4280bc288577,National Science & Technology Management Information System,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/scientific-programmes/scientific-engineering-research/national-science-technology-management-information-system-nstmis,,,,,,,,,,,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
dst_programme_3972ee5052b4782c8810,Policy Research Cell,PROGRAMME,SCHEME_OR_PROGRAMME,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME_INFORMATION_AVAILABLE,NO_CURRENT_APPLICATION_WINDOW_VERIFIED,Scheme information available,https://dst.gov.in/policy-research-cell,,,,,,,,,,PRC,0.00,IDENTITY_VERIFIED_ATTRIBUTES_PENDING,2026-07-10,3.4.0.4
