master_id,department_code,ministry,department,entity_type,canonical_name,official_abbreviation,canonical_name_normalized,official_source_url,source_page_id,source_page_role,upstream_provisional_entity_id,upstream_identity_confidence,upstream_quality_confidence,canonical_identity_status,identity_locked,identity_lock_version,identity_locked_at,publication_decision,public_status,review_flags,source_version,identity_evidence_count
dst_programme_1956ba3cf06f4b89512d,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Technology Development and Transfer,,technologydevelopmentandtransfer,https://dst.gov.in/technology-development-and-transfer,,,dst_provisional_programme_a5dad6324fc5938214dc,0.5270,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_fb332e7ab29f31178d4f,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Science and Heritage Research Initiative (SHRI) Cell,,scienceandheritageresearchinitiativecell,https://dst.gov.in/science-and-heritage-research-initiative-shri-cell,,,dst_provisional_programme_949c456fc2168a4e5db0,0.6172,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,1
dst_programme_8f106c6fdd32822c9c7e,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Geospatial Programme (erstwhile NRDMS),,nationalgeospatialprogramme,https://dst.gov.in/national-geospatial-programme-erstwhile-nrdms,,,dst_provisional_programme_db90b2cfe99e88b0ee4c,0.6290,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,1
dst_programme_84b6b59a2ba5338c5e92,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Promotion of University Research and Scientific Excellence,PURSE,promotionofuniversityresearchandscientificexcellence,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,,,dst_provisional_programme_c7681b03264f485ab9a9,0.6100,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_b2115f0d42d44315493a,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Sophisticated Analytical Instrument Facilities,SAIF,sophisticatedanalyticalinstrumentfacilities,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,,,dst_provisional_programme_ec419cff16ecb3cd65e7,0.4940,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_9c8f082864566558e4ff,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,STUTI,synergistictrainingprogramutilizingscientificandtechnologicalinfrastructure,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,,,dst_provisional_programme_2cb7fbf01a6e1098d011,0.6820,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,1
dst_programme_6108a336121d3ad5c780,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Support for Up-gradation Preventive Repair & Maintenance of Equipment,SUPREME,supportforupgradationpreventiverepairandmaintenanceofequipment,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,,,dst_provisional_programme_ffc17b125133e17c7e1a,0.6400,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_3d2b842cedbcdf64ff77,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Women in Science and Engineering-KIRAN,WISE-KIRAN,womeninscienceandengineeringkiran,https://dst.gov.in/scientific-programmes/wise-kiran,,,dst_provisional_programme_d0be2609d7edece61837,0.7160,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_93151f7f4280bc288577,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,National Science & Technology Management Information System,,nationalscienceandtechnologymanagementinformationsystem,https://dst.gov.in/scientific-programmes/scientific-engineering-research/national-science-technology-management-information-system-nstmis,,,dst_provisional_programme_7d0564f8246d029b3cbd,0.4940,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
dst_programme_3972ee5052b4782c8810,DST,Ministry of Science and Technology,Department of Science and Technology,PROGRAMME,Policy Research Cell,PRC,policyresearchcell,https://dst.gov.in/policy-research-cell,,,dst_provisional_programme_629f69d1c1a7a7ea1ad8,0.5020,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | LOW_IDENTITY_CONFIDENCE | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION | PROGRAMME_TYPE_REQUIRES_CURATION | UPSTREAM_ADMIN_REVIEW_FLAG,3.4.0.3.3.1,1
