master_id,department_code,ministry,department,entity_type,canonical_name,official_abbreviation,canonical_name_normalized,official_source_url,source_page_id,source_page_role,upstream_provisional_entity_id,upstream_identity_confidence,upstream_quality_confidence,canonical_identity_status,identity_locked,identity_lock_version,identity_locked_at,publication_decision,public_status,review_flags,source_version,identity_evidence_count
dst_scheme_8bac813a86732c602cc2,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,FIST,fundforimprovementofsandtinfrastructureinuniversitiesandhighereducationalinstitutions,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,,,dst_provisional_scheme_ba3faa8153c1c06bdffc,0.6527,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,1
dst_scheme_254c1bd0dcdfaea90960,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME,INSPIRE Scheme,,inspirescheme,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,,,dst_provisional_scheme_fd02e119bc642328c94f,0.8110,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED,3.4.0.3.3.1,1
dst_scheme_1c3d6d43999e119ecaf2,DST,Ministry of Science and Technology,Department of Science and Technology,SCHEME,Mega Facilities for Basic Research Scheme,,megafacilitiesforbasicresearchscheme,https://dst.gov.in/mega-facilities-basic-research-scheme,,,dst_provisional_scheme_10827dc007fc6d5e687f,0.6790,1.0000,LOCKED_VERIFIED_PERMANENT_IDENTITY,true,3.4.0.4,2026-07-10T11:55:26+00:00,PUBLISH_LIMITED_INFORMATION,Scheme information available,BODY_FALLBACK_TEXT_USED | NO_CATEGORY_INDEX_CONTEXT | OFFICIAL_ABBREVIATION_NOT_CONFIRMED | PARENT_HIERARCHY_REQUIRES_RESOLUTION,3.4.0.3.3.1,2
