source,url,normalized_url,inventory_origin,discovery_status,fetch_status,http_status,browser_render_required,classification,classification_reason,master_id,canonical_name,extraction_status,validation_decision,review_status,staging_status,failure_reason,final_category,recommended_action
BIRAC,https://birac.nic.in/cfp_view.php?id=24&scheme_type=5,https://birac.nic.in/cfp_view.php?id=24&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=25&scheme_type=3,https://birac.nic.in/cfp_view.php?id=25&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=25&scheme_type=5,https://birac.nic.in/cfp_view.php?id=25&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=26&scheme_type=5,https://birac.nic.in/cfp_view.php?id=26&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=27&scheme_type=2,https://birac.nic.in/cfp_view.php?id=27&scheme_type=2,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,8ff977f47c79657470e1,Small Business Innovation Research Initiative (SBIRI),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=27&scheme_type=5,https://birac.nic.in/cfp_view.php?id=27&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=28&scheme_type=2,https://birac.nic.in/cfp_view.php?id=28&scheme_type=2,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,8ff977f47c79657470e1,Small Business Innovation Research Initiative (SBIRI),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=28&scheme_type=3,https://birac.nic.in/cfp_view.php?id=28&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=29&scheme_type=2,https://birac.nic.in/cfp_view.php?id=29&scheme_type=2,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,8ff977f47c79657470e1,Small Business Innovation Research Initiative (SBIRI),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=29&scheme_type=5,https://birac.nic.in/cfp_view.php?id=29&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=30&scheme_type=5,https://birac.nic.in/cfp_view.php?id=30&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=31&scheme_type=5,https://birac.nic.in/cfp_view.php?id=31&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=32&scheme_type=3,https://birac.nic.in/cfp_view.php?id=32&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=32&scheme_type=5,https://birac.nic.in/cfp_view.php?id=32&scheme_type=5,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,a8afe74b6b424de359f6,Biotechnology Ignition Grant (BIG),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=34&scheme_type=3,https://birac.nic.in/cfp_view.php?id=34&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=35&scheme_type=2,https://birac.nic.in/cfp_view.php?id=35&scheme_type=2,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,8ff977f47c79657470e1,Small Business Innovation Research Initiative (SBIRI),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=37&scheme_type=1,https://birac.nic.in/cfp_view.php?id=37&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=38&scheme_type=3,https://birac.nic.in/cfp_view.php?id=38&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=40&scheme_type=3,https://birac.nic.in/cfp_view.php?id=40&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=41&scheme_type=1,https://birac.nic.in/cfp_view.php?id=41&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=42&scheme_type=1,https://birac.nic.in/cfp_view.php?id=42&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=43&scheme_type=3,https://birac.nic.in/cfp_view.php?id=43&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=44&scheme_type=1,https://birac.nic.in/cfp_view.php?id=44&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=45&scheme_type=3,https://birac.nic.in/cfp_view.php?id=45&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=46&scheme_type=2,https://birac.nic.in/cfp_view.php?id=46&scheme_type=2,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,8ff977f47c79657470e1,Small Business Innovation Research Initiative (SBIRI),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=47&scheme_type=1,https://birac.nic.in/cfp_view.php?id=47&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=48&scheme_type=3,https://birac.nic.in/cfp_view.php?id=48&scheme_type=3,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,6c8f4fd195e66709ff71,Contract Research and Services Scheme (CRS),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
BIRAC,https://birac.nic.in/cfp_view.php?id=49&scheme_type=1,https://birac.nic.in/cfp_view.php?id=49&scheme_type=1,discovery_results_v2,PENDING,FETCHED_INFERRED_FROM_CLASSIFICATION,,False,CALL,call marker,36761a61e4963c914a4e,Biotechnology Industry Partnership Programme (BIPP),NOT_EXTRACTED,,,NOT_PRESENT,Master candidate exists without an extracted record.,AWAITING_EXTRACTION,Run incremental extraction for this master_id.
