notice_id,notice_type,call_record_id,effective_closing_date,official_url,resolution
dbt_birac_notice_81d4d2d8ae75bc3cac76,EXTENSION_NOTICE,dbt_birac_call_a34e83aadd81b682b5f3,2026-07-15,https://birac.nic.in/?id=927,MERGED_WITH_EXISTING_CALL
dbt_birac_notice_3118b18a8c89f33ee317,EXTENSION_NOTICE,dbt_birac_call_18b2dc64727b68193481,2026-07-15,https://birac.nic.in/?id=927,MERGED_WITH_EXISTING_CALL
dbt_birac_notice_1d0722fc07cb858462c3,EXTENSION_NOTICE,dbt_birac_call_bbdac5ae0c028e41f098,2023-08-17,https://birac.nic.in/cfp_view.php?id=82&scheme_type=31,MERGED_WITH_EXISTING_CALL
